candidate_id,split_name,fold_id,n_train,n_test,n_features,threshold,status,skip_reason,heldout_reader_rows_used_for_feature_fit,heldout_text_rows_used_for_feature_fit,feature_candidate_id,feature_feature_recipe,feature_fit_word_rows,feature_apply_word_rows,feature_predictors,feature_heldout_reader_rows_used_for_fit,feature_heldout_text_rows_used_for_fit,feature_reader_group_used,feature_preserves_d3_lite_features,feature_feature_families,feature_skipped,feature_skip_reason
candidate_0014_3a7538097b,unseen_reader,0,1181,884,128,0.24000000000000002,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,74799,135639,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader,1,1167,906,128,0.46,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,80069,143407,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader,2,1254,799,128,0.28,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,97191,156565,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader,3,1129,965,128,0.24000000000000002,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,77010,144930,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader_and_text,0,1181,321,128,0.36000000000000004,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,74799,98023,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader_and_text,1,1167,269,128,0.26,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,80069,96243,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader_and_text,2,1254,404,128,0.38,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,97191,123414,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_reader_and_text,3,1129,234,128,0.38,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,77010,95514,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_text,0,1181,913,128,0.29000000000000004,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,74799,146444,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_text,1,1167,861,128,0.3,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,80069,137988,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_text,2,1254,797,128,0.38,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,97191,144971,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0014_3a7538097b,unseen_text,3,1129,983,128,0.26,complete,,False,False,candidate_0014_3a7538097b,d3_lite_all,77010,151138,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader,0,1181,884,128,0.25,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,74799,135639,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader,1,1167,906,128,0.45,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,80069,143407,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader,2,1254,799,128,0.28,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,97191,156565,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader,3,1129,965,128,0.23,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,77010,144930,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader_and_text,0,1181,321,128,0.35000000000000003,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,74799,98023,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader_and_text,1,1167,269,128,0.3,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,80069,96243,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader_and_text,2,1254,404,128,0.39,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,97191,123414,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_reader_and_text,3,1129,234,128,0.36000000000000004,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,77010,95514,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_text,0,1181,913,128,0.29000000000000004,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,74799,146444,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_text,1,1167,861,128,0.31,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,80069,137988,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
candidate_0013_936f0c9788,unseen_text,2,1254,797,128,0.41000000000000003,complete,,False,False,candidate_0013_936f0c9788,d3_lite_all,97191,144971,"['word_length', 'wordfreq_frequency', 'gpt2_surprisal', 'TRIAL_IA_COUNT', 'is_content_word']",False,False,False,True,"['previous_d3_lite_residuals', 'robust_residual_distributions', 'official_word_level_raw_gaze_summaries', 'text_gaze_interaction_summaries']",False,
