candidate_id,residual_alpha,predictor_set,outcome_set,aggregation_set,transform,classifier,classifier_params,seed,selection_metric,selection_score,complete_folds,evaluated_folds,mean_threshold,status,skip_reason,unseen_reader_inner_balanced_accuracy,unseen_text_inner_balanced_accuracy,unseen_reader_and_text_inner_balanced_accuracy
d3opt_0001_a08ea0296c,1.0,surface_surprisal_syntax,duration_core,central_spread,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7650161135357528,12,12,0.5125000000000001,complete,,0.8090377942249574,0.7410436462863565,0.7449669000959446
d3opt_0002_936d309e0b,100.0,surface_surprisal,duration_core,robust_full,log1p_duration,logistic_regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7637823804429714,12,12,0.4766666666666666,complete,,0.7864469290271884,0.7648725807607999,0.740027631540926
d3opt_0003_1f254e5426,0.1,surface_surprisal,duration_core,central_spread,raw,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7397136298436289,12,12,0.3091666666666667,complete,,0.7364032558598953,0.7655997858911525,0.717137847779839
d3opt_0004_2d99f94fd4,0.1,surface_surprisal_syntax,duration_core,robust_full,raw,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7502073571569605,12,12,0.3233333333333334,complete,,0.7490174266404376,0.7731097913957383,0.7284948534347057
d3opt_0005_6fb3131758,100.0,surface_surprisal,duration_plus_count,robust_full,log1p_duration,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7563971626823077,12,12,0.28916666666666674,complete,,0.7316846764125087,0.8054534151431901,0.7320533964912241
d3opt_0006_20828c33ee,100.0,surface_surprisal_syntax,duration_core,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.766497614011794,12,12,0.5008333333333334,complete,,0.7797487454398078,0.7728300048827748,0.7469140917127989
d3opt_0007_0760b780a3,100.0,surface_surprisal_syntax,duration_core,central_spread,raw,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7499087823721512,12,12,0.5325,complete,,0.7940823303767619,0.7444383502910961,0.711205666448596
d3opt_0008_df66566550,10.0,surface_surprisal_syntax,duration_core,robust_full,raw,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.767034428394195,12,12,0.49499999999999994,complete,,0.7983855237592857,0.7652467275090094,0.7374710339142898
d3opt_0009_29325c8105,10.0,surface_surprisal,all_gaze,robust_full,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7692381349532766,12,12,0.5225,complete,,0.8016682125339695,0.7725576014459203,0.73348859087994
d3opt_0010_b5068dc8e0,0.1,surface,duration_plus_count,central_spread,log1p_duration,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7491274668148357,12,12,0.28750000000000003,complete,,0.7268318025447704,0.7984177582577259,0.7221328396420108
d3opt_0011_ccc45f5128,10.0,surface_surprisal,duration_core,central_spread,log1p_duration,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7435468398402326,12,12,0.32749999999999996,complete,,0.7274492184838076,0.7754359525992761,0.7277553484376138
d3opt_0012_3fccec14be,0.1,surface_surprisal_syntax,all_gaze,robust_full,log1p_duration,logistic_regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7657569348831738,12,12,0.4741666666666667,complete,,0.7721394747584671,0.7794931431990444,0.7456381866920095
d3opt_0013_6bc9656667,100.0,surface,duration_plus_count,robust_full,raw,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7588986350592601,12,12,0.2983333333333334,complete,,0.7413230104819332,0.8095953577782004,0.725777536917647
d3opt_0014_c5981f7cbf,0.1,surface_surprisal_syntax,duration_plus_count,robust_full,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7669294403638166,12,12,0.5041666666666667,complete,,0.7977317806875639,0.7645001858307559,0.73855635457313
