model_run_id,source_phase,model_name,candidate_id,algorithm_regime,evaluation_level,clean_or_oracle,metric_rows,source_files,official_claim_allowed,benchmark_relative_claim_allowed
run_0000,AutoResearch_v1,D1_dfm_exposure_only,D1_dfm_exposure_only,offline_full_profile,reader_level,clean,1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,False,True
run_0001,AutoResearch_v1,D2_dfm_sensitivity_only,D2_dfm_sensitivity_only,offline_full_profile,reader_level,clean,1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,False,True
run_0002,AutoResearch_v1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,reader_level,clean,2,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv;analysis/autoresearch_v1/tables/final_model_metrics_table.csv,False,True
run_0003,AutoResearch_v1,D4_dfm_exposure_plus_sensitivity,D4_dfm_exposure_plus_sensitivity,offline_full_profile,reader_level,clean,1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,False,True
run_0004,BenchmarkBridge_v1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,reader_aggregated,clean,9,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv;results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,False,True
run_0005,D3OnlineTargetedOptimization_v1,online_d3_0021,online_d3_0021,online_accumulator,reader_aggregated,clean,5,analysis/d3_online_targeted_optimization_v1/online_locked_test_results.csv,False,True
run_0006,D3OnlineTargetedOptimization_v2,best_offline_all_full_evidence,v2_candidate_0000,offline_full_profile,reader_aggregated,clean,3,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,False,True
run_0007,D3OnlineTargetedOptimization_v2,best_online_early_detection,v2_candidate_0031,online_prefix,reader_aggregated,clean,5,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,False,True
run_0008,D3OnlineTargetedOptimization_v2,best_online_late_accumulation,v2_candidate_0012,online_accumulator,reader_aggregated,clean,5,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,False,True
run_0009,D3OnlineTargetedOptimization_v2,best_online_mid_detection,v2_candidate_0019,online_prefix,reader_aggregated,clean,5,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,False,True
run_0010,D3OnlineTargetedOptimization_v2,best_online_stopping_detector,v2_candidate_0043,online_stopping,reader_aggregated,clean,5,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,False,True
run_0011,D3OnlineTargetedOptimization_v2,best_unseen_text_specialist,unseen_text_rescue_04,unseen_text_specialist,reader_aggregated,clean,1,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,False,True
run_0012,D3_EyeBench_own_method_score_max_v2,d3_lite_anchor,candidate_0000,official_compatible_lite,trial_level,clean,3,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,False,True
run_0013,D3_EyeBench_own_method_score_max_v2,d3_lite_plus_full_official_extension,candidate_0013_936f0c9788,official_compatible_lite,trial_level,clean,3,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,False,True
run_0014,OfficialEyeBenchAlignment_v1,AhnCNN~\citep{ahn2020towards},AhnCNN~\citep{ahn2020towards},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0015,OfficialEyeBenchAlignment_v1,AhnRNN~\citep{ahn2020towards},AhnRNN~\citep{ahn2020towards},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0016,OfficialEyeBenchAlignment_v1,BEyeLSTM~\citep{reich_inferring_2022},BEyeLSTM~\citep{reich_inferring_2022},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0017,OfficialEyeBenchAlignment_v1,D3_EyeBench_Lite,D3_EyeBench_Lite,official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,True
run_0018,OfficialEyeBenchAlignment_v1,D3_FullData_EyeBenchStyle,D3_FullData_EyeBenchStyle,official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,True
run_0019,OfficialEyeBenchAlignment_v1,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,True
run_0020,OfficialEyeBenchAlignment_v1,Logistic Regression~\cite{meziere2023using},Logistic Regression~\cite{meziere2023using},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0021,OfficialEyeBenchAlignment_v1,MAG-Eye~\citep{Shubi2024Finegrained},MAG-Eye~\citep{Shubi2024Finegrained},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0022,OfficialEyeBenchAlignment_v1,Majority Class / Chance,Majority Class / Chance,official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0023,OfficialEyeBenchAlignment_v1,PLM-AS-RM~\citep{haller2022eye},PLM-AS-RM~\citep{haller2022eye},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0024,OfficialEyeBenchAlignment_v1,PLM-AS~\citep{Yang2023PLMASPL},PLM-AS~\citep{Yang2023PLMASPL},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0025,OfficialEyeBenchAlignment_v1,PostFusion-Eye~\citep{Shubi2024Finegrained},PostFusion-Eye~\citep{Shubi2024Finegrained},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0026,OfficialEyeBenchAlignment_v1,Random Forest~\cite{makowski2024detection},Random Forest~\cite{makowski2024detection},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0027,OfficialEyeBenchAlignment_v1,Reading Speed,Reading Speed,official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0028,OfficialEyeBenchAlignment_v1,RoBERTEye-F~\citep{Shubi2024Finegrained},RoBERTEye-F~\citep{Shubi2024Finegrained},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0029,OfficialEyeBenchAlignment_v1,RoBERTEye-W~\citep{Shubi2024Finegrained},RoBERTEye-W~\citep{Shubi2024Finegrained},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0030,OfficialEyeBenchAlignment_v1,SVM~\cite{hollenstein2023zuco},SVM~\cite{hollenstein2023zuco},official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0031,OfficialEyeBenchAlignment_v1,Text-Only Roberta,Text-Only Roberta,official_fold_full_feature,trial_level,clean,3,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,False,False
run_0032,OfficialEyeBenchSOTACheck_v1,official_eyebench_sota_check,blocked_by_environment,official_compatible_lite,trial_level,blocked,1,analysis/official_eyebench_sota_check_v1/official_sota_decision_report.md,False,False
run_0033,OperatingPointAdaptation_v1,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,trial_level,oracle,3,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,False,False
run_0034,OperatingPointAdaptation_v1,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,operating_point_diagnostic,trial_level,clean,6,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,False,True
run_0035,OperatingPointAdaptation_v1,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,trial_level,oracle,12,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,False,False
