number_id,value,metric,model_name,split_regime,source_file,source_phase,allowed_context,notes
offline_auc,0.8947368421052632,AUROC,D3_dfm_residual_gaze_only,LOPO,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,AutoResearch_v1,source number for future tables/figures; not a final paper table,Main offline reader-profile result.
offline_ba,0.8421052631578947,balanced_accuracy,D3_dfm_residual_gaze_only,LOPO,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,AutoResearch_v1,source number for future tables/figures; not a final paper table,Main offline reader-profile result.
benchmark_unseen_reader_auc,0.8961218836565096,AUROC,D3_dfm_residual_gaze_only,unseen_reader,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,BenchmarkBridge_v1,source number for future tables/figures; not a final paper table,BenchmarkBridge internal EyeBench-style split.
benchmark_unseen_text_auc,0.8284880894506563,AUROC,D3_dfm_residual_gaze_only,unseen_text,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,BenchmarkBridge_v1,source number for future tables/figures; not a final paper table,BenchmarkBridge internal EyeBench-style split.
benchmark_both_unseen_auc,0.8541666666666666,AUROC,D3_dfm_residual_gaze_only,unseen_reader_and_text,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,BenchmarkBridge_v1,source number for future tables/figures; not a final paper table,BenchmarkBridge internal EyeBench-style split.
d3_lite_unseen_reader_ba,0.7274042284242905,balanced_accuracy,d3_lite_anchor,unseen_reader,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2,source number for future tables/figures; not a final paper table,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
d3_lite_unseen_text_auc,0.8318508349893763,AUROC,d3_lite_anchor,unseen_text,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2,source number for future tables/figures; not a final paper table,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
online_v1_unseen_reader_auc,0.8961218836565097,AUROC,online_d3_0021,unseen_reader,analysis/d3_online_targeted_optimization_v1/online_locked_test_results.csv,D3OnlineTargetedOptimization_v1,source number for future tables/figures; not a final paper table,Best v1 clean candidate; selected no_stop and is offline-like.
online_v2_early_both_ba,0.8194444444444444,balanced_accuracy,best_online_early_detection,unseen_reader_and_text,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,D3OnlineTargetedOptimization_v2,source number for future tables/figures; not a final paper table,Strict v2 final separated model row.
online_v2_stopping_reader_ba,0.4958419958419958,balanced_accuracy,best_online_stopping_detector,unseen_reader,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,D3OnlineTargetedOptimization_v2,source number for future tables/figures; not a final paper table,Strict v2 final separated model row.
unseen_text_specialist_ba,0.7546218487394958,balanced_accuracy,best_unseen_text_specialist,unseen_text,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,D3OnlineTargetedOptimization_v2,source number for future tables/figures; not a final paper table,Strict v2 final separated model row.
online_v2_unseen_reader_auc_gate,250 words,earliest_AUROC_ge_0.80,D3_online_v2_per_prefix,unseen_reader,analysis/d3_online_targeted_optimization_v2/per_prefix_performance_report.md,D3OnlineTargetedOptimization_v2,online evidence sufficiency narrative,AUROC >= 0.80 first reached around 250 words.
online_v2_both_unseen_ba_gate,500 words,earliest_BA_ge_0.75,D3_online_v2_per_prefix,unseen_reader_and_text,analysis/d3_online_targeted_optimization_v2/per_prefix_performance_report.md,D3OnlineTargetedOptimization_v2,online evidence sufficiency narrative,BA >= 0.75 first reached around 500 words.
