evidence_id,source_phase,source_file,baseline_model,split_regime,D3_BA,baseline_BA,D3_AUROC,baseline_AUROC,result_origin,result_scope,official_comparable_average,notes
external_baseline_00000,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader,0.8157894736842105,0.777,0.8988919667590027,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00001,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader,0.8157894736842105,0.698,0.8988919667590027,0.8009999999999999,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00002,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader,0.8157894736842105,0.755,0.8988919667590027,0.831,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00003,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader,0.6842105263157895,0.777,0.778393351800554,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00004,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader,0.6842105263157895,0.698,0.778393351800554,0.8009999999999999,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00005,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader,0.6842105263157895,0.755,0.778393351800554,0.831,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00006,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader_and_text,0.5833333333333333,0.6559999999999999,0.7013888888888888,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00007,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader_and_text,0.5833333333333333,0.597,0.7013888888888888,0.659,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00008,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader_and_text,0.5833333333333333,0.635,0.7013888888888888,0.6890000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00009,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_text,0.738655462184874,0.775,0.7647058823529411,0.857,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00010,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_text,0.738655462184874,0.815,0.7647058823529411,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00011,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_text,0.738655462184874,0.7659999999999999,0.7647058823529411,0.833,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00012,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader,0.7763157894736843,0.777,0.7950138504155125,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00013,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader,0.7763157894736843,0.698,0.7950138504155125,0.8009999999999999,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00014,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader,0.7763157894736843,0.755,0.7950138504155125,0.831,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00015,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader_and_text,0.7013888888888888,0.6559999999999999,0.763888888888889,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00016,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader_and_text,0.7013888888888888,0.597,0.763888888888889,0.659,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
