evidence_id,source_phase,source_file,source_row_identifier,source_trace_status,value_source_text
AutoResearch_v1_offline_full_profile_0000_00000,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,AutoResearch_v1_offline_full_profile_0000_00000,exact_file_trace,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00000
AutoResearch_v1_offline_full_profile_0000_00001,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,AutoResearch_v1_offline_full_profile_0000_00001,exact_file_trace,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00001
AutoResearch_v1_offline_full_profile_0001_00002,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,AutoResearch_v1_offline_full_profile_0001_00002,exact_file_trace,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0001_00002
AutoResearch_v1_offline_full_profile_0002_00003,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,AutoResearch_v1_offline_full_profile_0002_00003,exact_file_trace,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0002_00003
AutoResearch_v1_offline_full_profile_0003_00004,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,AutoResearch_v1_offline_full_profile_0003_00004,exact_file_trace,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0003_00004
Phase4_bootstrap_auc_ci_00005,Phase4_confirmatory_v1,analysis/phase4_confirmatory/bootstrap_results.csv,Phase4_bootstrap_auc_ci_00005,exact_file_trace,Copied from v1 canonical row Phase4_bootstrap_auc_ci_00005
Phase4_permutation_p_value_00006,Phase4_confirmatory_v1,analysis/phase4_confirmatory/permutation_results.csv,Phase4_permutation_p_value_00006,exact_file_trace,Copied from v1 canonical row Phase4_permutation_p_value_00006
BenchmarkBridge_v1_unseen_reader_00007,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,BenchmarkBridge_v1_unseen_reader_00007,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_unseen_reader_00007
BenchmarkBridge_v1_unseen_text_00008,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,BenchmarkBridge_v1_unseen_text_00008,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_unseen_text_00008
BenchmarkBridge_v1_unseen_reader_and_text_00009,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,BenchmarkBridge_v1_unseen_reader_and_text_00009,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_unseen_reader_and_text_00009
