evidence_id,source_phase,model_name,candidate_id,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,evaluation_level,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,n_readers,n_prefix_rows,stable_enough_rate,result_origin,result_scope,preferred_for_future_tables,notes
online_v2_prefix_00000,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,100,chronological_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.7659279778393352,0.6245295682364223,0.6842105263157895,0.6668831168831169,0.1949932849716383,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00001,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,1000,chronological_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.868421052631579,0.7930017718348124,0.7894736842105263,0.7738095238095238,0.1515180859645821,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00002,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,250,chronological_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8337950138504155,0.7487532097624865,0.7236842105263158,0.71433344470431,0.1754628137734044,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00003,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,50,chronological_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.206986001681344,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00004,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,500,chronological_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8573407202216066,0.7806313590949814,0.763157894736842,0.740909090909091,0.1607996621917267,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00005,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,all,chronological_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8864265927977839,0.8282667691504859,0.7763157894736843,0.7572879135276778,0.1344521181859311,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00006,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,1,speech_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8670360110803323,0.7948964651186237,0.763157894736842,0.7524223187437353,0.1479553902523423,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00007,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,2,speech_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8618618618618619,0.7829427103581694,0.7672672672672673,0.7472605160834218,0.1473983294619819,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00008,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,3,speech_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.796969696969697,0.5636181139122315,0.7136363636363636,0.6692307692307693,0.1690012669051356,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00009,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,all,speech_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.9002770083102493,0.8561369366972083,0.8289473684210527,0.8115079365079365,0.1271111392689264,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00010,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,1,trial_or_text_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8642659279778393,0.7938894954203886,0.75,0.7361111111111112,0.1501526035311458,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00011,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,2,trial_or_text_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8543543543543544,0.7708062546078298,0.7394894894894894,0.7250000000000001,0.1479334999632817,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00012,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,3,trial_or_text_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.796969696969697,0.553611111111111,0.7136363636363636,0.6692307692307693,0.1721719695991316,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00013,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,all,trial_or_text_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8947368421052632,0.8409256022814375,0.8289473684210527,0.8115079365079365,0.1303272337106572,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00014,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,100,word_count_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.7423822714681441,0.5937276564135665,0.7236842105263158,0.71433344470431,0.1975887978845039,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00015,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,1000,word_count_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8642659279778393,0.7891127375563369,0.763157894736842,0.740909090909091,0.1547044888648208,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00016,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,250,word_count_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8060941828254847,0.7111119266421273,0.7105263157894737,0.6984126984126984,0.1828890529488759,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00017,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,50,word_count_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.2126903482833066,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00018,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,500,word_count_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8490304709141274,0.7710919374583913,0.7368421052631579,0.7199475925319359,0.1671297471772065,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00019,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,all,word_count_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,beta_binomial_posterior,reader_aggregated,0.8808864265927977,0.81892359589728,0.75,0.7361111111111112,0.1384572821455654,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00020,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,100,chronological_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.7811634349030471,0.6413111144734902,0.6842105263157895,0.6668831168831169,0.237719575477846,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00021,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,1000,chronological_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8836565096952909,0.8183486949353822,0.7763157894736843,0.7572879135276778,0.1714183977482809,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
