reconciliation_id,metric_name,model_name,candidate_id,split_regime,evaluation_level,source_phase,source_file,source_value,source_context,same_metric_as_others,conflict_group_id,exact_match_group_id,notes
recon_00000,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,LOPO,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,0.8947368421052632,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00000,True,,AutoResearch_v1_offline_full_profile_0000_00000_AUROC,Main offline reader-profile result.
recon_00001,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,LOPO,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,0.8640879080588109,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00000,True,,AutoResearch_v1_offline_full_profile_0000_00000_PR_AUC,Main offline reader-profile result.
recon_00002,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,LOPO,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,0.8421052631578947,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00000,True,,AutoResearch_v1_offline_full_profile_0000_00000_balanced_accuracy,Main offline reader-profile result.
recon_00003,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,LOPO,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,0.8421052631578947,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00000,True,,AutoResearch_v1_offline_full_profile_0000_00000_macro_F1,Main offline reader-profile result.
recon_00004,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,LOPO,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,0.115941634094159,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0000_00000,True,,AutoResearch_v1_offline_full_profile_0000_00000_Brier,Main offline reader-profile result.
recon_00005,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unknown,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,0.8947368421052632,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0002_00003,True,,AutoResearch_v1_offline_full_profile_0002_00003_AUROC,DFM exposure versus sensitivity/residual gaze ablation.
recon_00006,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unknown,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,0.8640879080588109,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0002_00003,True,,AutoResearch_v1_offline_full_profile_0002_00003_PR_AUC,DFM exposure versus sensitivity/residual gaze ablation.
recon_00007,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unknown,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,0.8421052631578947,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0002_00003,True,,AutoResearch_v1_offline_full_profile_0002_00003_balanced_accuracy,DFM exposure versus sensitivity/residual gaze ablation.
recon_00008,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unknown,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,0.8421052631578947,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0002_00003,True,,AutoResearch_v1_offline_full_profile_0002_00003_macro_F1,DFM exposure versus sensitivity/residual gaze ablation.
recon_00009,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unknown,reader_level,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,0.115941634094159,Copied from v1 canonical row AutoResearch_v1_offline_full_profile_0002_00003,True,,AutoResearch_v1_offline_full_profile_0002_00003_Brier,DFM exposure versus sensitivity/residual gaze ablation.
