number_id,source_phase,source_file,source_trace_status,result_scope,notes
prepared_dataset_analysis_ready_participant_level_v1_1_rows,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,Prepared dataset row count.
prepared_dataset_analysis_ready_sentence_level_v1_1_rows,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,Prepared dataset row count.
prepared_dataset_analysis_ready_word_level_v1_1_rows,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,Prepared dataset row count.
prepared_dataset_source_word_rows,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,
prepared_dataset_word_rows_after_labels,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,
prepared_dataset_duplicate_participant_word_keys,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,
prepared_dataset_missing_participant_label_rate,LabelRelease_v1_1,results/label_release_v1_1_20260506_0041/prepared_dataset/analysis_ready_manifest.json,exact_file_trace,primary_completed_result,
feature_release_checksummed_files,FeatureRelease_v1,results/feature_release_v1_20260505_2155/feature_release_manifest.json,exact_file_trace,primary_completed_result,
source_artifact_inventory_rows,d3_model_evidence_v1_1,00_inventory/source_artifact_inventory.csv,exact_file_trace,primary_completed_result,
metric_00009_AUROC,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,exact_file_trace,primary_completed_result,Main offline reader-profile result.
metric_00010_PR_AUC,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,exact_file_trace,primary_completed_result,Main offline reader-profile result.
metric_00011_balanced_accuracy,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,exact_file_trace,primary_completed_result,Main offline reader-profile result.
metric_00012_macro_F1,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,exact_file_trace,primary_completed_result,Main offline reader-profile result.
