candidate_id,feature_family,calibrator,threshold_policy,accumulator,stopping_policy
online_d3_0000,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,mean_probability,no_stop
online_d3_0001,dfm_residual_plus_uncertainty_prefix,sigmoid,inner_cv_global,mean_probability,confidence_stop
online_d3_0002,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_prefix_specific,mean_probability,cost_sensitive_stop
online_d3_0003,dfm_residual_plus_uncertainty_prefix,sigmoid,two_sided_confidence,logit_mean,no_stop
online_d3_0004,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,logit_mean,confidence_stop
online_d3_0005,dfm_residual_plus_uncertainty_prefix,sigmoid,inner_cv_global,logit_mean,cost_sensitive_stop
online_d3_0006,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_prefix_specific,entropy_weighted,no_stop
online_d3_0007,dfm_residual_plus_uncertainty_prefix,sigmoid,two_sided_confidence,entropy_weighted,confidence_stop
online_d3_0008,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,entropy_weighted,cost_sensitive_stop
online_d3_0009,dfm_residual_plus_uncertainty_prefix,sigmoid,inner_cv_global,learned_meta_aggregator,no_stop
online_d3_0010,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_prefix_specific,learned_meta_aggregator,confidence_stop
online_d3_0011,dfm_residual_plus_uncertainty_prefix,sigmoid,two_sided_confidence,learned_meta_aggregator,cost_sensitive_stop
online_d3_0012,all_allowed_online,identity,fixed_0_5,mean_probability,no_stop
online_d3_0013,all_allowed_online,sigmoid,inner_cv_global,mean_probability,confidence_stop
online_d3_0014,all_allowed_online,identity,inner_cv_prefix_specific,mean_probability,cost_sensitive_stop
online_d3_0015,all_allowed_online,sigmoid,two_sided_confidence,logit_mean,no_stop
online_d3_0016,all_allowed_online,identity,fixed_0_5,logit_mean,confidence_stop
online_d3_0017,all_allowed_online,sigmoid,inner_cv_global,logit_mean,cost_sensitive_stop
online_d3_0018,all_allowed_online,identity,inner_cv_prefix_specific,entropy_weighted,no_stop
online_d3_0019,all_allowed_online,sigmoid,two_sided_confidence,entropy_weighted,confidence_stop
online_d3_0020,all_allowed_online,identity,fixed_0_5,entropy_weighted,cost_sensitive_stop
online_d3_0021,all_allowed_online,sigmoid,inner_cv_global,learned_meta_aggregator,no_stop
online_d3_0022,all_allowed_online,identity,inner_cv_prefix_specific,learned_meta_aggregator,confidence_stop
online_d3_0023,all_allowed_online,sigmoid,two_sided_confidence,learned_meta_aggregator,cost_sensitive_stop
online_d3_0024,dfm_residual_gaze_prefix,identity,fixed_0_5,mean_probability,no_stop
online_d3_0025,dfm_residual_gaze_prefix,sigmoid,inner_cv_global,mean_probability,confidence_stop
online_d3_0026,dfm_residual_gaze_prefix,identity,inner_cv_prefix_specific,mean_probability,cost_sensitive_stop
online_d3_0027,dfm_residual_gaze_prefix,sigmoid,two_sided_confidence,logit_mean,no_stop
online_d3_0028,dfm_residual_gaze_prefix,identity,fixed_0_5,logit_mean,confidence_stop
online_d3_0029,dfm_residual_gaze_prefix,sigmoid,inner_cv_global,logit_mean,cost_sensitive_stop
online_d3_0030,dfm_residual_gaze_prefix,identity,inner_cv_prefix_specific,entropy_weighted,no_stop
online_d3_0031,dfm_residual_gaze_prefix,sigmoid,two_sided_confidence,entropy_weighted,confidence_stop
online_d3_0032,dfm_residual_gaze_prefix,identity,fixed_0_5,entropy_weighted,cost_sensitive_stop
online_d3_0033,dfm_residual_gaze_prefix,sigmoid,inner_cv_global,learned_meta_aggregator,no_stop
online_d3_0034,dfm_residual_gaze_prefix,identity,inner_cv_prefix_specific,learned_meta_aggregator,confidence_stop
online_d3_0035,dfm_residual_gaze_prefix,sigmoid,two_sided_confidence,learned_meta_aggregator,cost_sensitive_stop
