model_row,evaluation_regime,online_or_offline,evidence_available,evidence_cost,threshold_source,calibration_source,accumulator,stopping_policy,AUROC,PR-AUC,BA,macro_F1,Brier,coverage,mean_words_to_decision,mean_texts_to_decision,official_claim_allowed,benchmark_relative_claim_allowed,notes
D3_OnlinePrefix_50_words,unseen_text,online,word_count_prefix:50,,fixed_0_5,identity,,,0.7714681440443214,0.6780303528325504,0.7236842105263157,0.7038961038961039,0.1970635556636358,1.0,,,False,False,
D3_OnlinePrefix_100_words,participant_grouped_kfold,online,word_count_prefix:100,,fixed_0_5,identity,,,0.7950138504155124,0.7063895401144649,0.6973684210526316,0.6826072715361939,0.2260471958276252,1.0,,,False,False,
D3_OnlinePrefix_250_words,participant_grouped_kfold,online,word_count_prefix:250,,fixed_0_5,identity,,,0.8933518005540166,0.843472187502003,0.7894736842105263,0.761352657004831,0.1631255757434603,1.0,,,False,False,
D3_OnlinePrefix_500_words,unseen_text,online,word_count_prefix:500,,fixed_0_5,identity,,,0.9189189189189187,0.8774896135759144,0.8534850640113798,0.8444444444444444,0.10465169516242,1.0,,,False,False,
D3_OnlinePrefix_1000_words,unseen_reader_and_text,online,word_count_prefix:1000,,fixed_0_5,identity,,,0.9305555555555556,0.9381313131313131,0.875,0.8785714285714286,0.123318850479288,1.0,,,False,False,
D3_OnlinePrefix_1_text,unseen_reader_and_text,online,trial_or_text_prefix:1,,fixed_0_5,identity,,,0.9166666666666669,0.9115936147186148,0.8819444444444444,0.8819444444444444,0.1219127338155342,1.0,,,False,False,
D3_OnlinePrefix_2_texts,unseen_reader_and_text,online,trial_or_text_prefix:2,,fixed_0_5,identity,,,1.0,1.0,1.0,1.0,0.0055455859769034,1.0,,,False,False,
D3_OnlineAccumulator_Best,unseen_text,online,best_accumulator,,,identity,learned_meta_aggregator,,0.9166666666666669,0.8333333333333333,0.75,0.6190476190476191,0.2066579052215711,1.0,,,False,False,
D3_OnlineStopping_Best,participant_grouped_kfold,online,stopping_policy,0.2107675104449646,inner_oof,identity,beta_binomial_posterior,two_sided_confidence_policy,1.0,1.0,1.0,1.0,0.0505681188918544,0.7857142857142857,339.3636363636364,1.0,False,False,
D3_Offline_FullProfile,leave_one_participant_out,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.115941634094159,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
BenchmarkBridge_full_data_reader_aggregated,unseen_reader,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.7955274671852212,0.5190186808837781,0.7379679144385027,0.6910468659912692,0.1773612581754122,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
BenchmarkBridge_full_data_reader_aggregated,unseen_reader,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,,,,0.4215308493701845,0.1595091103387529,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
BenchmarkBridge_full_data_reader_aggregated,unseen_reader_and_text,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.7916666666666666,0.6050739698751378,0.7395833333333333,0.7270471464019852,0.1794717774613309,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
BenchmarkBridge_full_data_reader_aggregated,unseen_reader_and_text,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8388888888888889,0.813015873015873,0.7797619047619048,0.7272582972582973,0.187322753149407,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
BenchmarkBridge_full_data_reader_aggregated,unseen_text,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8284880894506563,0.5547798448721939,0.7443850267379679,0.6935457516339869,0.1675926494208323,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
BenchmarkBridge_full_data_reader_aggregated,unseen_text,offline,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8694757727652465,0.8071428571428573,0.7648078529657478,0.5456202092809581,0.2411810738929224,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_EyeBench_Lite_trial_level,unseen_reader,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.796404333960664,0.492661680738613,0.7158814742876336,0.6749207106710016,0.1906407989566722,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_EyeBench_Lite_reader_aggregated,unseen_reader,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.796404333960664,0.492661680738613,0.7158814742876336,0.6749207106710016,0.1906407989566722,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
