prefix_row_id,participant_id,reader_group,reader_group_binary,prefix_type,prefix_value,prefix_order_index,evidence_available_until_prefix,n_words_observed,n_trials_observed,n_texts_observed,n_speeches_observed,n_fixations_observed,stable_enough_for_prediction,terminal_text_id,observed_text_ids,fold_id,inner_fold_id,split_regime,split_role,y_true,p_pred,y_pred,model_name,feature_group,threshold_source,calibration_source,prediction_uncertainty,probability_entropy,n_features,predictor_hash,clean_result,official_claim_allowed,benchmark_relative_claim_allowed,_prefix_priority,_prefix_value_numeric,accumulator,p_t,calibrated_p_t,uncertainty_estimate,evidence_count,accumulator_status,reader_sequence_key,y_pred_at_prefix,is_error
42,P03,typical_control,0,word_count_prefix,50,1,P03::1323_p1_s192_w12,50,1,1,1,43,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.2298604087967911,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1770246012645632,0.7777678853506533,177,4842823,True,False,True,0,50.0,learned_meta_aggregator,0.0810505666613027,0.0810505666613027,0.0,1,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
48,P03,typical_control,0,chronological_prefix,50,1,P03::1323_p1_s192_w12,50,1,1,1,43,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.2298604087967911,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1770246012645632,0.7777678853506533,177,4842823,True,False,True,1,50.0,learned_meta_aggregator,0.083295637326571,0.083295637326571,0.0011225353326341,2,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
43,P03,typical_control,0,word_count_prefix,100,2,P03::1323_p1_s195_w62,100,1,1,1,81,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.2003460841763867,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1602075307315748,0.7226197234806244,201,8231497,True,False,True,0,100.0,learned_meta_aggregator,0.0862349862588443,0.0862349862588443,0.0021228471709548,3,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
49,P03,typical_control,0,chronological_prefix,100,2,P03::1323_p1_s195_w62,100,1,1,1,81,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.2003460841763867,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1602075307315748,0.7226197234806244,201,8231497,True,False,True,1,100.0,learned_meta_aggregator,0.0875258847608224,0.0875258847608224,0.0025254885392291,4,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
44,P03,typical_control,0,word_count_prefix,250,3,P03::1323_p5_s206_w9,250,1,1,1,243,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.1999031325454098,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1599418701439421,0.7217343176691652,201,8231497,True,False,True,0,250.0,learned_meta_aggregator,0.0915321691164859,0.0915321691164859,0.0035992465006384,5,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
50,P03,typical_control,0,chronological_prefix,250,3,P03::1323_p5_s206_w9,250,1,1,1,243,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.1999031325454098,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1599418701439421,0.7217343176691652,201,8231497,True,False,True,1,250.0,learned_meta_aggregator,0.0935378181889389,0.0935378181889389,0.0043403642633424,6,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
45,P03,typical_control,0,word_count_prefix,500,4,P03::1323_p8_s219_w58,500,1,1,1,460,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.0513973980010483,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.0487557054797701,0.2923036061069987,201,8231497,True,False,True,0,500.0,learned_meta_aggregator,0.1165490658921975,0.1165490658921975,0.011029441583872,7,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
51,P03,typical_control,0,chronological_prefix,500,4,P03::1323_p8_s219_w58,500,1,1,1,460,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.0513973980010483,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.0487557054797701,0.2923036061069987,201,8231497,True,False,True,1,500.0,learned_meta_aggregator,0.1159432130378056,0.1159432130378056,0.0131294829237139,8,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
46,P03,typical_control,0,word_count_prefix,1000,5,P03::1323_p17_s249_w9,1000,1,1,1,1034,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.7710978081250491,1,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.176505978429794,0.7760926631019028,201,8231497,True,False,True,0,1000.0,learned_meta_aggregator,0.2340666533031156,0.2340666533031156,0.0455873488549887,9,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
52,P03,typical_control,0,chronological_prefix,1000,5,P03::1323_p17_s249_w9,1000,1,1,1,1034,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.7710978081250491,1,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.176505978429794,0.7760926631019028,201,8231497,True,False,True,1,1000.0,learned_meta_aggregator,0.2730003029177426,0.2730003029177426,0.065287559017787,10,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
54,P03,typical_control,0,trial_or_text_prefix,1,1,P03::1323_p30_s290_w71,1813,1,1,1,1912,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.9772568952744976,1,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.0222258559129471,0.1565769633810028,201,8231497,True,False,True,2,1.0,learned_meta_aggregator,0.5420057742138519,0.5420057742138519,0.1347542406241859,11,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,1,True
59,P03,typical_control,0,speech_prefix,1,1,P03::1323_p30_s290_w71,1813,1,1,1,1912,True,1323,1323,0,,participant_grouped_kfold,outer_test,0,0.9772568952744976,1,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.0222258559129471,0.1565769633810028,201,8231497,True,False,True,3,1.0,learned_meta_aggregator,0.5766972596334667,0.5766972596334667,0.1721967133692057,12,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,1,True
55,P03,typical_control,0,trial_or_text_prefix,2,2,P03::7797_p15_s417_w113,3191,2,2,2,3442,True,7797,1323|7797,0,,participant_grouped_kfold,outer_test,0,0.8653898685050799,1,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1164902439938403,0.5699472738771781,201,8231497,True,False,True,2,2.0,learned_meta_aggregator,0.4206958096692654,0.4206958096692654,0.1757211241948276,13,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
60,P03,typical_control,0,speech_prefix,2,2,P03::7797_p15_s417_w113,3191,2,2,2,3442,True,7797,1323|7797,0,,participant_grouped_kfold,outer_test,0,0.8653898685050799,1,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.1164902439938403,0.5699472738771781,201,8231497,True,False,True,3,2.0,learned_meta_aggregator,0.4475181073861038,0.4475181073861038,0.1795587958037926,14,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
56,P03,typical_control,0,trial_or_text_prefix,3,3,P03::7856_p16_s483_w105,5043,3,3,3,5173,True,7856,1323|7797|7856,0,,participant_grouped_kfold,outer_test,0,0.4588494967033665,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2483066360784337,0.9951084536686136,201,8231497,True,False,True,2,3.0,learned_meta_aggregator,0.2039773248348795,0.2039773248348795,0.1736122432734518,15,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
61,P03,typical_control,0,speech_prefix,3,3,P03::7856_p16_s483_w105,5043,3,3,3,5173,True,7856,1323|7797|7856,0,,participant_grouped_kfold,outer_test,0,0.4588494967033665,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2483066360784337,0.9951084536686136,201,8231497,True,False,True,3,3.0,learned_meta_aggregator,0.2083142277228311,0.2083142277228311,0.1681831111996976,16,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
47,P03,typical_control,0,word_count_prefix,all,6,P03::17526_p25_s1721_w12,9999,6,6,6,9761,True,17526,1323|7797|7856|10365|10440|17526,0,,participant_grouped_kfold,outer_test,0,0.4516612168487929,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2476633620434605,0.9932473459693854,201,8231497,True,False,True,0,1000000000.0,learned_meta_aggregator,0.120039766859312,0.120039766859312,0.1651588491039407,17,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
53,P03,typical_control,0,chronological_prefix,all,6,P03::17526_p25_s1721_w12,9999,6,6,6,9761,True,17526,1323|7797|7856|10365|10440|17526,0,,participant_grouped_kfold,outer_test,0,0.4516612168487929,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2476633620434605,0.9932473459693854,201,8231497,True,False,True,1,1000000000.0,learned_meta_aggregator,0.1228124816832571,0.1228124816832571,0.1621207328781062,18,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
58,P03,typical_control,0,trial_or_text_prefix,all,5,P03::17526_p25_s1721_w12,9999,6,6,6,9761,True,17526,1323|7797|7856|10365|10440|17526,0,,participant_grouped_kfold,outer_test,0,0.4516612168487929,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2476633620434605,0.9932473459693854,201,8231497,True,False,True,2,1000000000.0,learned_meta_aggregator,0.1256758432027108,0.1256758432027108,0.159107042022791,19,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
63,P03,typical_control,0,speech_prefix,all,5,P03::17526_p25_s1721_w12,9999,6,6,6,9761,True,17526,1323|7797|7856|10365|10440|17526,0,,participant_grouped_kfold,outer_test,0,0.4516612168487929,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2476633620434605,0.9932473459693854,201,8231497,True,False,True,3,1000000000.0,learned_meta_aggregator,0.1286277680222863,0.1286277680222863,0.1561425600798924,20,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P03,0,False
64,P04,typical_control,0,word_count_prefix,50,1,P04::7856_p0_s420_w49,50,1,1,1,35,True,7856,7856,0,,participant_grouped_kfold,outer_test,0,0.4470330733356579,0,D3_OnlinePrefix_logistic_regression,all_allowed_online,fixed_0_5,identity,0.2471945046797342,0.991889843029136,177,4842823,True,False,True,0,50.0,learned_meta_aggregator,0.1432467786690455,0.1432467786690455,0.0,1,complete,outer_test:participant_grouped_kfold:0:all_allowed_online:P04,0,False
