analysis_row,source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,fold_id,threshold_policy,threshold_source,official_claim_allowed,score_source,threshold,n_candidate_thresholds,information_bits,n_predictions,n_positive,n_negative,AUROC,PR-AUC,BA,macro_F1,sensitivity,specificity,Brier,log_loss,calibration_slope,calibration_intercept,ECE,status,notes
fixed_0_5,autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,57,19,38,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.7894736842105263,0.8947368421052632,0.11594163409415904,0.39392611753528445,0.8693048353453224,-0.5321293920730354,0.13204099784956158,complete,
fixed_0_5,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,242,55,187,0.7955274671852212,0.5190186808837781,0.7379679144385027,0.6910468659912692,0.7272727272727273,0.7486631016042781,0.17736125817541226,0.5869356430161072,0.5648873635960451,-1.1436164056109939,0.18632340914151743,complete,
fixed_0_5_fold_mean,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,fold_mean,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,242,55,187,,,,0.42153084937018453,0.7894736842105263,0.7800229741019213,0.15950911033875292,0.5257845573180301,,,0.3191081330180154,complete,Mean of per-fold fixed-threshold metrics.
fixed_0_5,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,44,12,32,0.7916666666666666,0.6050739698751378,0.7395833333333333,0.7270471464019852,0.6666666666666666,0.8125,0.17947177746133097,0.5633700520024125,0.5629228265670446,-0.8515100405393039,0.16847173301952464,complete,
fixed_0_5_fold_mean,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,fold_mean,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,44,12,32,0.8388888888888889,0.813015873015873,0.7797619047619048,0.7272582972582973,0.7833333333333333,0.7761904761904763,0.18732275314940702,0.5808773539667318,6.690089530799995,-3.665767221011799,0.32959115430222885,complete,Mean of per-fold fixed-threshold metrics.
fixed_0_5,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,242,55,187,0.8284880894506563,0.5547798448721939,0.7443850267379679,0.6935457516339869,0.7454545454545455,0.7433155080213903,0.16759264942083232,0.5473571782799966,0.690965279906972,-1.1637554856539192,0.17539168273355288,complete,
fixed_0_5_fold_mean,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,fold_mean,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,242,55,187,0.8694757727652465,0.8071428571428573,0.7648078529657478,0.5456202092809581,0.7666666666666666,0.6743551587301587,0.24118107389292243,0.871851560957398,32.75211817568335,-23.088238107836435,0.3496261641503939,complete,Mean of per-fold fixed-threshold metrics.
fixed_0_5,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,3554,767,2787,0.796404333960664,0.49266168073861305,0.7158814742876336,0.6749207106710016,0.6714471968709257,0.7603157517043416,0.19064079895667227,0.6207758559694571,0.5273593980341867,-1.3471230589673289,0.20743961267023378,complete,
fixed_0_5_fold_mean,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,fold_mean,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,3554,767,2787,0.8085072099153234,0.5614388958724685,0.7274042284242905,0.6766562319612539,0.6949999026039557,0.7598085542446253,0.19039353822477106,0.619336778360168,0.6964881820186599,-1.4624080841782996,0.22003619300710983,complete,Mean of per-fold fixed-threshold metrics.
fixed_0_5,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,1228,408,820,0.7149420133907222,0.560540148988024,0.6477821616451458,0.6398116772983653,0.5906862745098039,0.7048780487804878,0.21578473754375457,0.663292513175024,0.5194456542178406,-0.6725320101157652,0.12929984203359324,complete,
