analysis_row,source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,fold_id,threshold_policy,threshold_source,official_claim_allowed,score_source,threshold,n_candidate_thresholds,information_bits,n_predictions,n_positive,n_negative,AUROC,PR-AUC,BA,macro_F1,sensitivity,specificity,Brier,log_loss,calibration_slope,calibration_intercept,ECE,status,notes,aggregation_method,aggregation_basis,n_readers,median_trials_per_reader,mean_reader_probability_variance,primary_aggregation_allowed
simple_mean_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,57,19,38,0.8961218836565096,0.8737669012394285,0.8157894736842105,0.8074324324324325,0.7894736842105263,0.8421052631578947,0.13258578802063214,0.42734930104633945,2.025916446083834,-0.607195691594816,0.17842933823086857,complete,,simple_mean_probability,probability,57,4.0,0.026923322318120817,True
simple_mean_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,34,10,24,0.8541666666666666,0.773968253968254,0.7458333333333333,0.7312252964426877,0.7,0.7916666666666666,0.15010920568310288,0.4569148346288794,0.9591521447069387,-0.7653116144454498,0.15268288205888295,complete,,simple_mean_probability,probability,34,1.0,0.00762130726217137,True
simple_mean_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,57,19,38,0.9279778393351801,0.9007604344325302,0.868421052631579,0.8492063492063492,0.8947368421052632,0.8421052631578947,0.12280392427832693,0.4047333556077113,2.5222495090969845,-0.6788071890724431,0.17961388576206916,complete,,simple_mean_probability,probability,57,4.0,0.027087846942536978,True
simple_mean_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8468468468468469,0.733418232973587,0.753003003003003,0.7417840375586855,0.7222222222222222,0.7837837837837838,0.17831189227962777,0.5438583810271187,0.9738001555526982,-0.8653818164119431,0.15260071539601505,complete,,simple_mean_probability,probability,55,59.0,0.020667406044466822,True
simple_mean_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,39,11,28,0.7792207792207793,0.6481835158305747,0.6201298701298701,0.6201298701298701,0.45454545454545453,0.7857142857142857,0.1892822556437215,0.5539962086425151,1.1337509907178465,-0.7846743632234763,0.16586732216241473,complete,,simple_mean_probability,probability,39,27.0,0.023754339722797717,True
simple_mean_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8543543543543543,0.7367202073032064,0.753003003003003,0.7417840375586855,0.7222222222222222,0.7837837837837838,0.16848040153432145,0.5128363564352199,1.3010053919213862,-0.7918180597358998,0.21289378518999086,complete,,simple_mean_probability,probability,55,59.0,0.022860075634474963,True
simple_mean_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8123123123123123,0.7771532412449913,0.7387387387387387,0.7352832284339134,0.6666666666666666,0.8108108108108109,0.20158719959351837,0.5925498995149744,4.149824943777067,-0.6096119244946412,0.2203815692614198,complete,,simple_mean_probability,probability,55,59.0,0.02024173294844443,True
simple_mean_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,39,11,28,0.724025974025974,0.606610449601454,0.711038961038961,0.6990740740740741,0.6363636363636364,0.7857142857142857,0.21174971814252153,0.6131367144108635,2.099270085404947,-0.8143630142475192,0.19675086289368174,complete,,simple_mean_probability,probability,39,27.0,0.0185443134883764,True
simple_mean_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8483483483483484,0.7790676472160216,0.737987987987988,0.7445820433436532,0.6111111111111112,0.8648648648648649,0.19976596004743202,0.5887831629034921,5.126184364733057,-0.45909628219812,0.20476799431624382,complete,,simple_mean_probability,probability,55,59.0,0.019176798471692975,True
logit_mean_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,57,19,38,0.8767313019390581,0.8366246679677585,0.8289473684210527,0.8246153846153846,0.7894736842105263,0.868421052631579,0.1365403647664131,0.4340366651362188,1.4070678237058007,-0.6235952027858843,0.1405860403357545,complete,,logit_mean_probability,logit,57,4.0,0.026923322318120817,True
