source_name,candidate_id,model_name,feature_group,model,evaluation_level,split_regime,threshold,BA,macro_F1,false_positive,false_negative,true_positive,true_negative,near_threshold_errors,confidently_wrong_errors
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.0,0.5,0.25,38,0,19,0,10,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.01,0.5263157894736842,0.30675675675675673,36,0,19,2,8,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.02,0.5526315789473684,0.35912698412698413,34,0,19,4,8,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.03,0.5921052631578947,0.43091787439613527,31,0,19,7,5,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.04,0.618421052631579,0.47507145125436645,29,0,19,9,4,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.05,0.6052631578947368,0.48100470957613817,28,1,18,10,5,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.06,0.6052631578947368,0.48100470957613817,28,1,18,10,10,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.07,0.631578947368421,0.5210084033613445,26,1,18,12,9,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.08,0.631578947368421,0.5210084033613445,26,1,18,12,10,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.09,0.618421052631579,0.5239715434580885,25,2,17,13,10,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.1,0.631578947368421,0.5425925925925925,24,2,17,14,9,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.11,0.6973684210526316,0.6311248073959939,19,2,17,19,4,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.12,0.7105263157894737,0.6481481481481481,18,2,17,20,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.13,0.7236842105263158,0.6650170120630993,17,2,17,21,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.14,0.7236842105263158,0.6650170120630993,17,2,17,21,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.15,0.736842105263158,0.6817617866004964,16,2,17,22,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.16,0.736842105263158,0.6817617866004964,16,2,17,22,0,3
